JONSWAP Spectrum and Wave Train
===============================

Inputs:
Hs=4.50m
Tz=8.00s
Freq=[0.01, 3.50, step 0.00] rd/s
Time=[0.00, 2000.00, step 0.10] s

Spectral Parameters:
gamma=3.93
Tp=10.14 s
wp=0.62 rd/s
alpha=0.01

Spectral Moments:
m0=1.265 m^2
m1=0.924 m^2.rd/s
m2=0.758 m^2.(rd/s)^2
m3=0.745 m^2.(rd/s)^3
m4=0.945 m^2.(rd/s)^4

Wave Elevation Statictics:
Max: 3.88m
Min: -4.20m
Mean: -0.00m
StDev: 1.18m

Double Check Spectrum:
Hs=4*sqrt(m0)=4.50 m (-0%)
Tz=2*Pi*sqrt(m0/m2)=8.12 s (+1%)

Double Check Wave Train:
Hs=4*stdev(elevation)=4.72 m (+5%)
Tz=duration/upCrossings=8.30 s (+4%)

Spectrum and wave components:
omega	S(w)	Ampl	phi
rd/s	m2s/rd	 m  	rd
691.50	-1.55
691.60	-1.40
691.70	-1.24
691.80	-1.08
691.90	-0.92
692.00	-0.76
692.10	-0.61
692.20	-0.46
692.30	-0.32
692.40	-0.19
692.50	-0.06
692.60	0.05
692.70	0.15
692.80	0.25
692.90	0.34
693.00	0.42
693.10	0.49
693.20	0.56
693.30	0.63
693.40	0.69
693.50	0.75
693.60	0.81
693.70	0.87
693.80	0.93
693.90	0.99
694.00	1.04
694.10	1.09
694.20	1.14
694.30	1.20
694.40	1.25
694.50	1.30
694.60	1.36
694.70	1.42
694.80	1.48
694.90	1.55
695.00	1.62
695.10	1.70
695.20	1.77
695.30	1.84
695.40	1.91
695.50	1.97
695.60	2.02
695.70	2.05
695.80	2.07
695.90	2.07
696.00	2.04
696.10	1.99
696.20	1.92
696.30	1.83
696.40	1.72
696.50	1.58
696.60	1.43
696.70	1.27
696.80	1.10
696.90	0.92
697.00	0.74
697.10	0.56
697.20	0.39
697.30	0.22
697.40	0.06
697.50	-0.10
697.60	-0.24
697.70	-0.37
697.80	-0.50
697.90	-0.61
698.00	-0.72
698.10	-0.82
698.20	-0.91
698.30	-1.00
698.40	-1.09
698.50	-1.17
698.60	-1.25
698.70	-1.33
698.80	-1.40
698.90	-1.48
699.00	-1.55
699.10	-1.62
699.20	-1.68
699.30	-1.74
699.40	-1.80
699.50	-1.84
699.60	-1.88
699.70	-1.90
699.80	-1.91
699.90	-1.91
700.00	-1.89
700.10	-1.86
700.20	-1.81
700.30	-1.75
700.40	-1.67
700.50	-1.58
700.60	-1.47
700.70	-1.36
700.80	-1.24
700.90	-1.12
701.00	-0.99
701.10	-0.86
701.20	-0.73
701.30	-0.61
701.40	-0.48
701.50	-0.35
701.60	-0.23
701.70	-0.10
701.80	0.02
701.90	0.15
702.00	0.28
702.10	0.41
702.20	0.54
702.30	0.67
702.40	0.80
702.50	0.93
702.60	1.06
702.70	1.18
702.80	1.30
702.90	1.40
703.00	1.50
703.10	1.58
703.20	1.65
703.30	1.71
703.40	1.76
703.50	1.79
703.60	1.81
703.70	1.82
703.80	1.82
703.90	1.82
704.00	1.80
704.10	1.77
704.20	1.74
704.30	1.70
704.40	1.66
704.50	1.60
704.60	1.54
704.70	1.47
704.80	1.40
704.90	1.31
705.00	1.22
705.10	1.13
705.20	1.03
705.30	0.93
705.40	0.83
705.50	0.72
705.60	0.61
705.70	0.51
705.80	0.40
705.90	0.29
706.00	0.17
706.10	0.06
706.20	-0.06
706.30	-0.19
706.40	-0.32
706.50	-0.45
706.60	-0.60
706.70	-0.74
706.80	-0.89
706.90	-1.03
707.00	-1.17
707.10	-1.30
707.20	-1.42
707.30	-1.52
707.40	-1.60
707.50	-1.67
707.60	-1.71
707.70	-1.73
707.80	-1.73
707.90	-1.71
708.00	-1.68
708.10	-1.64
708.20	-1.60
708.30	-1.55
708.40	-1.51
708.50	-1.48
708.60	-1.46
708.70	-1.44
708.80	-1.44
708.90	-1.45
709.00	-1.45
709.10	-1.46
709.20	-1.47
709.30	-1.46
709.40	-1.44
709.50	-1.40
709.60	-1.34
709.70	-1.26
709.80	-1.16
709.90	-1.03
710.00	-0.89
710.10	-0.74
710.20	-0.57
710.30	-0.41
710.40	-0.24
710.50	-0.08
710.60	0.08
710.70	0.22
710.80	0.34
710.90	0.46
711.00	0.56
711.10	0.65
711.20	0.74
711.30	0.81
711.40	0.89
711.50	0.96
711.60	1.04
711.70	1.11
711.80	1.19
711.90	1.26
712.00	1.33
712.10	1.40
712.20	1.45
712.30	1.49
712.40	1.52
712.50	1.53
712.60	1.53
712.70	1.51
712.80	1.47
712.90	1.42
713.00	1.37
713.10	1.30
713.20	1.24
713.30	1.18
713.40	1.13
713.50	1.08
713.60	1.05
713.70	1.03
713.80	1.02
713.90	1.01
714.00	1.01
714.10	1.02
714.20	1.02
714.30	1.01
714.40	0.99
714.50	0.96
714.60	0.91
714.70	0.85
714.80	0.76
714.90	0.67
715.00	0.55
715.10	0.42
715.20	0.29
715.30	0.14
715.40	0.00
715.50	-0.14
715.60	-0.28
715.70	-0.41
715.80	-0.53
715.90	-0.65
716.00	-0.75
716.10	-0.84
716.20	-0.92
716.30	-1.00
716.40	-1.07
716.50	-1.14
716.60	-1.20
716.70	-1.26
716.80	-1.31
716.90	-1.36
717.00	-1.41
717.10	-1.45
717.20	-1.49
717.30	-1.52
717.40	-1.54
717.50	-1.54
717.60	-1.53
717.70	-1.51
717.80	-1.48
717.90	-1.42
718.00	-1.36
718.10	-1.27
718.20	-1.18
718.30	-1.07
718.40	-0.95
718.50	-0.82
718.60	-0.68
718.70	-0.54
718.80	-0.40
718.90	-0.26
719.00	-0.12
719.10	0.02
719.20	0.15
719.30	0.28
719.40	0.40
719.50	0.52
719.60	0.63
719.70	0.74
719.80	0.83
719.90	0.93
720.00	1.01
720.10	1.08
720.20	1.15
720.30	1.20
720.40	1.25
720.50	1.27
720.60	1.28
720.70	1.28
720.80	1.25
720.90	1.20
721.00	1.13
721.10	1.04
721.20	0.93
721.30	0.81
721.40	0.67
721.50	0.52
721.60	0.36
721.70	0.20
721.80	0.04
721.90	-0.11
722.00	-0.25
722.10	-0.37
722.20	-0.47
722.30	-0.56
722.40	-0.62
722.50	-0.66
722.60	-0.69
722.70	-0.69
722.80	-0.69
722.90	-0.67
723.00	-0.64
723.10	-0.60
723.20	-0.56
723.30	-0.52
723.40	-0.47
723.50	-0.43
723.60	-0.38
723.70	-0.34
723.80	-0.29
723.90	-0.24
724.00	-0.19
724.10	-0.13
724.20	-0.07
724.30	-0.01
724.40	0.06
724.50	0.13
724.60	0.19
724.70	0.26
724.80	0.32
724.90	0.38
725.00	0.42
725.10	0.46
725.20	0.48
725.30	0.50
725.40	0.50
725.50	0.50
725.60	0.48
725.70	0.46
725.80	0.43
725.90	0.40
726.00	0.37
726.10	0.34
726.20	0.31
726.30	0.28
726.40	0.25
726.50	0.22
726.60	0.19
726.70	0.16
726.80	0.12
726.90	0.08
727.00	0.04
727.10	-0.00
727.20	-0.05
727.30	-0.10
727.40	-0.15
727.50	-0.20
727.60	-0.24
727.70	-0.28
727.80	-0.31
727.90	-0.34
728.00	-0.36
728.10	-0.37
728.20	-0.37
728.30	-0.36
728.40	-0.34
728.50	-0.32
728.60	-0.30
728.70	-0.27
728.80	-0.25
728.90	-0.23
729.00	-0.21
729.10	-0.20
729.20	-0.20
729.30	-0.19
729.40	-0.20
729.50	-0.20
729.60	-0.21
729.70	-0.23
729.80	-0.24
729.90	-0.26
730.00	-0.27
730.10	-0.29
730.20	-0.30
730.30	-0.32
730.40	-0.33
730.50	-0.35
730.60	-0.36
730.70	-0.37
730.80	-0.38
730.90	-0.39
731.00	-0.40
731.10	-0.39
731.20	-0.39
731.30	-0.37
731.40	-0.34
731.50	-0.29
731.60	-0.24
731.70	-0.17
731.80	-0.09
731.90	0.01
732.00	0.11
732.10	0.22
732.20	0.34
732.30	0.46
732.40	0.57
732.50	0.68
732.60	0.77
732.70	0.86
732.80	0.93
732.90	0.98
733.00	1.02
733.10	1.03
733.20	1.03
733.30	1.01
733.40	0.98
733.50	0.94
733.60	0.88
733.70	0.81
733.80	0.74
733.90	0.66
734.00	0.58
734.10	0.50
734.20	0.42
734.30	0.34
734.40	0.25
734.50	0.17
734.60	0.09
734.70	0.01
734.80	-0.06
734.90	-0.13
735.00	-0.20
735.10	-0.26
735.20	-0.32
735.30	-0.37
735.40	-0.41
735.50	-0.44
735.60	-0.46
735.70	-0.47
735.80	-0.47
735.90	-0.46
736.00	-0.44
736.10	-0.42
736.20	-0.39
736.30	-0.36
736.40	-0.33
736.50	-0.30
736.60	-0.27
736.70	-0.26
736.80	-0.25
736.90	-0.25
737.00	-0.26
737.10	-0.28
737.20	-0.31
737.30	-0.34
737.40	-0.38
737.50	-0.43
737.60	-0.47
737.70	-0.51
737.80	-0.54
737.90	-0.56
738.00	-0.57
738.10	-0.56
738.20	-0.53
738.30	-0.49
738.40	-0.43
738.50	-0.35
738.60	-0.25
738.70	-0.15
738.80	-0.04
738.90	0.08
739.00	0.20
739.10	0.32
739.20	0.43
739.30	0.53
739.40	0.62
739.50	0.69
739.60	0.74
739.70	0.78
739.80	0.80
739.90	0.79
740.00	0.77
740.10	0.73
740.20	0.68
740.30	0.60
740.40	0.52
740.50	0.42
740.60	0.32
740.70	0.21
740.80	0.09
740.90	-0.04
741.00	-0.16
741.10	-0.28
741.20	-0.40
741.30	-0.51
741.40	-0.61
741.50	-0.70
741.60	-0.78
741.70	-0.84
741.80	-0.89
741.90	-0.92
742.00	-0.94
742.10	-0.94
742.20	-0.92
742.30	-0.90
742.40	-0.86
742.50	-0.82
742.60	-0.78
742.70	-0.74
742.80	-0.69
742.90	-0.65
743.00	-0.62
743.10	-0.59
743.20	-0.57
743.30	-0.55
743.40	-0.53
743.50	-0.50
743.60	-0.47
743.70	-0.43
743.80	-0.37
743.90	-0.30
744.00	-0.21
744.10	-0.10
744.20	0.03
744.30	0.18
744.40	0.35
744.50	0.53
744.60	0.72
744.70	0.92
744.80	1.11
744.90	1.30
745.00	1.48
745.10	1.64
745.20	1.78
745.30	1.91
745.40	2.01
745.50	2.08
745.60	2.14
745.70	2.17
745.80	2.18
745.90	2.16
746.00	2.13
746.10	2.08
746.20	2.02
746.30	1.93
746.40	1.83
746.50	1.71
746.60	1.58
746.70	1.43
746.80	1.26
746.90	1.07
747.00	0.87
747.10	0.66
747.20	0.44
747.30	0.20
747.40	-0.03
747.50	-0.27
747.60	-0.51
747.70	-0.73
747.80	-0.95
747.90	-1.15
748.00	-1.33
748.10	-1.49
748.20	-1.63
748.30	-1.74
748.40	-1.84
748.50	-1.91
748.60	-1.97
748.70	-2.01
748.80	-2.04
748.90	-2.06
749.00	-2.07
749.10	-2.07
749.20	-2.07
749.30	-2.07
749.40	-2.06
749.50	-2.04
749.60	-2.01
749.70	-1.98
749.80	-1.93
749.90	-1.88
750.00	-1.80
750.10	-1.71
750.20	-1.60
750.30	-1.48
750.40	-1.34
750.50	-1.19
750.60	-1.02
750.70	-0.85
750.80	-0.68
750.90	-0.50
751.00	-0.33
751.10	-0.16
751.20	0.00
751.30	0.15
751.40	0.28
751.50	0.40
751.60	0.50
751.70	0.59
751.80	0.67
751.90	0.73
752.00	0.78
752.10	0.82
752.20	0.86
752.30	0.89
752.40	0.91
752.50	0.94
752.60	0.96
752.70	0.99
752.80	1.01
752.90	1.04
753.00	1.06
753.10	1.09
753.20	1.11
753.30	1.13
753.40	1.15
753.50	1.17
753.60	1.18
753.70	1.18
753.80	1.18
753.90	1.17
754.00	1.16
754.10	1.14
754.20	1.11
754.30	1.08
754.40	1.05
754.50	1.01
754.60	0.98
754.70	0.94
754.80	0.90
754.90	0.87
755.00	0.84
755.10	0.81
755.20	0.79
755.30	0.77
755.40	0.75
755.50	0.74
755.60	0.73
755.70	0.72
755.80	0.71
755.90	0.70
756.00	0.69
756.10	0.67
756.20	0.64
756.30	0.61
756.40	0.57
756.50	0.52
756.60	0.45
756.70	0.38
756.80	0.30
756.90	0.21
757.00	0.11
757.10	0.01
757.20	-0.09
757.30	-0.20
757.40	-0.31
757.50	-0.42
757.60	-0.52
757.70	-0.62
757.80	-0.71
757.90	-0.80
758.00	-0.88
758.10	-0.95
758.20	-1.02
758.30	-1.09
758.40	-1.15
758.50	-1.20
758.60	-1.25
758.70	-1.29
758.80	-1.33
758.90	-1.36
759.00	-1.39
759.10	-1.40
759.20	-1.41
759.30	-1.40
759.40	-1.38
759.50	-1.34
759.60	-1.30
759.70	-1.24
759.80	-1.16
759.90	-1.08
760.00	-0.99
760.10	-0.90
760.20	-0.80
760.30	-0.71
760.40	-0.61
760.50	-0.53
760.60	-0.46
760.70	-0.39
760.80	-0.34
760.90	-0.30
761.00	-0.26
761.10	-0.24
761.20	-0.22
761.30	-0.20
761.40	-0.18
761.50	-0.17
761.60	-0.14
761.70	-0.12
761.80	-0.09
761.90	-0.05
762.00	-0.01
762.10	0.02
762.20	0.06
762.30	0.10
762.40	0.13
762.50	0.16
762.60	0.17
762.70	0.18
762.80	0.18
762.90	0.17
763.00	0.15
763.10	0.14
763.20	0.12
763.30	0.11
763.40	0.10
763.50	0.10
763.60	0.12
763.70	0.15
763.80	0.19
763.90	0.25
764.00	0.33
764.10	0.41
764.20	0.51
764.30	0.61
764.40	0.71
764.50	0.81
764.60	0.91
764.70	1.00
764.80	1.07
764.90	1.13
765.00	1.18
765.10	1.21
765.20	1.23
765.30	1.23
765.40	1.21
765.50	1.18
765.60	1.14
765.70	1.08
765.80	1.01
765.90	0.93
766.00	0.84
766.10	0.74
766.20	0.63
766.30	0.51
766.40	0.39
766.50	0.26
766.60	0.14
766.70	0.02
766.80	-0.09
766.90	-0.20
767.00	-0.29
767.10	-0.37
767.20	-0.43
767.30	-0.47
767.40	-0.50
767.50	-0.51
767.60	-0.50
767.70	-0.48
767.80	-0.44
767.90	-0.40
768.00	-0.35
768.10	-0.29
768.20	-0.23
768.30	-0.17
768.40	-0.11
768.50	-0.06
768.60	0.00
768.70	0.06
768.80	0.12
768.90	0.19
769.00	0.25
769.10	0.32
769.20	0.40
769.30	0.48
769.40	0.56
769.50	0.63
769.60	0.71
769.70	0.78
769.80	0.84
769.90	0.88
770.00	0.91
770.10	0.92
770.20	0.91
770.30	0.87
770.40	0.81
770.50	0.74
770.60	0.64
770.70	0.53
770.80	0.40
770.90	0.27
771.00	0.12
771.10	-0.02
771.20	-0.17
771.30	-0.31
771.40	-0.45
771.50	-0.59
771.60	-0.73
771.70	-0.86
771.80	-0.99
771.90	-1.12
772.00	-1.25
772.10	-1.37
772.20	-1.49
772.30	-1.60
772.40	-1.70
772.50	-1.79
772.60	-1.87
772.70	-1.93
772.80	-1.97
772.90	-1.99
773.00	-1.99
773.10	-1.96
773.20	-1.91
773.30	-1.84
773.40	-1.75
773.50	-1.64
773.60	-1.52
773.70	-1.39
773.80	-1.26
773.90	-1.12
774.00	-0.98
774.10	-0.85
774.20	-0.72
774.30	-0.59
774.40	-0.47
774.50	-0.35
774.60	-0.23
774.70	-0.12
774.80	-0.00
774.90	0.11
775.00	0.22
775.10	0.33
775.20	0.44
775.30	0.55
775.40	0.65
775.50	0.74
775.60	0.82
775.70	0.88
775.80	0.93
775.90	0.96
776.00	0.98
776.10	0.97
776.20	0.96
776.30	0.92
776.40	0.88
776.50	0.84
776.60	0.79
776.70	0.75
776.80	0.72
776.90	0.69
777.00	0.68
777.10	0.69
777.20	0.71
777.30	0.75
777.40	0.81
777.50	0.87
777.60	0.95
777.70	1.03
777.80	1.12
777.90	1.20
778.00	1.28
778.10	1.36
778.20	1.43
778.30	1.48
778.40	1.53
778.50	1.57
778.60	1.59
778.70	1.60
778.80	1.60
778.90	1.58
779.00	1.56
779.10	1.52
779.20	1.48
779.30	1.42
779.40	1.34
779.50	1.26
779.60	1.16
779.70	1.05
779.80	0.93
779.90	0.80
780.00	0.65
780.10	0.50
780.20	0.34
780.30	0.17
780.40	0.00
780.50	-0.17
780.60	-0.33
780.70	-0.49
780.80	-0.64
780.90	-0.77
781.00	-0.89
781.10	-1.00
781.20	-1.09
781.30	-1.17
781.40	-1.24
781.50	-1.29
781.60	-1.33
781.70	-1.37
781.80	-1.39
781.90	-1.42
782.00	-1.44
782.10	-1.47
782.20	-1.49
782.30	-1.51
782.40	-1.54
782.50	-1.56
782.60	-1.58
782.70	-1.60
782.80	-1.62
782.90	-1.63
783.00	-1.63
783.10	-1.62
783.20	-1.60
783.30	-1.57
783.40	-1.53
783.50	-1.48
783.60	-1.43
783.70	-1.36
783.80	-1.30
783.90	-1.22
784.00	-1.15
784.10	-1.07
784.20	-0.99
784.30	-0.91
784.40	-0.84
784.50	-0.76
784.60	-0.68
784.70	-0.60
784.80	-0.52
784.90	-0.43
785.00	-0.34
785.10	-0.24
785.20	-0.14
785.30	-0.03
785.40	0.09
785.50	0.21
785.60	0.34
785.70	0.47
785.80	0.60
785.90	0.72
786.00	0.85
786.10	0.96
786.20	1.08
786.30	1.18
786.40	1.28
786.50	1.37
786.60	1.45
786.70	1.53
786.80	1.59
786.90	1.65
787.00	1.70
787.10	1.75
787.20	1.78
787.30	1.81
787.40	1.82
787.50	1.83
787.60	1.82
787.70	1.79
787.80	1.75
787.90	1.70
788.00	1.63
788.10	1.55
788.20	1.46
788.30	1.36
788.40	1.24
788.50	1.13
788.60	1.01
788.70	0.89
788.80	0.77
788.90	0.66
789.00	0.55
789.10	0.45
789.20	0.36
789.30	0.27
789.40	0.19
789.50	0.11
789.60	0.04
789.70	-0.03
789.80	-0.09
789.90	-0.16
790.00	-0.22
790.10	-0.29
790.20	-0.35
790.30	-0.42
790.40	-0.48
790.50	-0.54
790.60	-0.60
790.70	-0.66
790.80	-0.71
790.90	-0.77
791.00	-0.82
791.10	-0.87
791.20	-0.92
791.30	-0.98
791.40	-1.04
791.50	-1.10
791.60	-1.16
791.70	-1.23
791.80	-1.30
791.90	-1.37
792.00	-1.43
792.10	-1.49
792.20	-1.54
792.30	-1.58
792.40	-1.60
792.50	-1.61
792.60	-1.60
792.70	-1.58
792.80	-1.54
792.90	-1.49
793.00	-1.43
793.10	-1.36
793.20	-1.29
793.30	-1.22
793.40	-1.15
793.50	-1.09
793.60	-1.03
793.70	-0.98
793.80	-0.94
793.90	-0.90
794.00	-0.86
794.10	-0.82
794.20	-0.77
794.30	-0.71
794.40	-0.64
794.50	-0.55
794.60	-0.44
794.70	-0.32
794.80	-0.17
794.90	-0.01
795.00	0.16
795.10	0.34
795.20	0.52
795.30	0.71
795.40	0.89
795.50	1.07
795.60	1.23
795.70	1.38
795.80	1.52
795.90	1.64
796.00	1.74
796.10	1.84
796.20	1.92
796.30	1.99
796.40	2.05
796.50	2.10
796.60	2.15
796.70	2.20
796.80	2.23
796.90	2.26
797.00	2.29
797.10	2.30
797.20	2.31
797.30	2.30
797.40	2.28
797.50	2.25
797.60	2.20
797.70	2.14
797.80	2.06
797.90	1.96
798.00	1.86
798.10	1.74
798.20	1.60
798.30	1.46
798.40	1.30
798.50	1.14
798.60	0.96
798.70	0.77
798.80	0.58
798.90	0.37
799.00	0.15
799.10	-0.07
799.20	-0.30
799.30	-0.53
799.40	-0.77
799.50	-1.01
799.60	-1.25
799.70	-1.48
799.80	-1.71
799.90	-1.92
800.00	-2.12
800.10	-2.30
800.20	-2.47
800.30	-2.61
800.40	-2.74
800.50	-2.85
800.60	-2.93
800.70	-3.00
800.80	-3.04
800.90	-3.06
801.00	-3.07
801.10	-3.05
801.20	-3.01
801.30	-2.95
801.40	-2.87
801.50	-2.77
801.60	-2.65
801.70	-2.51
801.80	-2.36
801.90	-2.18
802.00	-2.00
802.10	-1.80
802.20	-1.59
802.30	-1.38
802.40	-1.17
802.50	-0.96
802.60	-0.76
802.70	-0.56
802.80	-0.37
802.90	-0.19
803.00	-0.02
803.10	0.14
803.20	0.29
803.30	0.44
803.40	0.57
803.50	0.70
803.60	0.83
803.70	0.94
803.80	1.06
803.90	1.17
804.00	1.27
804.10	1.37
804.20	1.47
804.30	1.55
804.40	1.63
804.50	1.70
804.60	1.77
804.70	1.82
804.80	1.87
804.90	1.92
805.00	1.95
805.10	1.99
805.20	2.03
805.30	2.06
805.40	2.10
805.50	2.13
805.60	2.16
805.70	2.20
805.80	2.23
805.90	2.25
806.00	2.27
806.10	2.28
806.20	2.28
806.30	2.26
806.40	2.24
806.50	2.20
806.60	2.15
806.70	2.09
806.80	2.02
806.90	1.94
807.00	1.86
807.10	1.77
807.20	1.68
807.30	1.59
807.40	1.49
807.50	1.39
807.60	1.28
807.70	1.17
807.80	1.04
807.90	0.90
808.00	0.75
808.10	0.58
808.20	0.39
808.30	0.18
808.40	-0.04
808.50	-0.28
808.60	-0.53
808.70	-0.78
808.80	-1.03
808.90	-1.29
809.00	-1.53
809.10	-1.77
809.20	-1.98
809.30	-2.19
809.40	-2.37
809.50	-2.53
809.60	-2.67
809.70	-2.79
809.80	-2.90
809.90	-2.98
810.00	-3.05
810.10	-3.11
810.20	-3.15
810.30	-3.18
810.40	-3.19
810.50	-3.19
810.60	-3.17
810.70	-3.14
810.80	-3.09
810.90	-3.02
811.00	-2.94
811.10	-2.84
811.20	-2.72
811.30	-2.59
811.40	-2.45
811.50	-2.30
811.60	-2.15
811.70	-1.99
811.80	-1.84
811.90	-1.69
812.00	-1.54
812.10	-1.39
812.20	-1.25
812.30	-1.11
812.40	-0.97
812.50	-0.83
812.60	-0.69
812.70	-0.54
812.80	-0.39
812.90	-0.23
813.00	-0.07
813.10	0.10
813.20	0.27
813.30	0.44
813.40	0.61
813.50	0.78
813.60	0.94
813.70	1.09
813.80	1.24
813.90	1.38
814.00	1.51
814.10	1.64
814.20	1.76
814.30	1.88
814.40	1.99
814.50	2.11
814.60	2.23
814.70	2.35
814.80	2.46
814.90	2.58
815.00	2.69
815.10	2.80
815.20	2.89
815.30	2.97
815.40	3.03
815.50	3.07
815.60	3.08
815.70	3.08
815.80	3.05
815.90	3.01
816.00	2.95
816.10	2.88
816.20	2.80
816.30	2.71
816.40	2.63
816.50	2.55
816.60	2.48
816.70	2.41
816.80	2.34
816.90	2.29
817.00	2.23
817.10	2.17
817.20	2.10
817.30	2.02
817.40	1.92
817.50	1.81
817.60	1.67
817.70	1.51
817.80	1.32
817.90	1.11
818.00	0.88
818.10	0.63
818.20	0.37
818.30	0.11
818.40	-0.17
818.50	-0.44
818.60	-0.71
818.70	-0.98
818.80	-1.23
818.90	-1.48
819.00	-1.71
819.10	-1.94
819.20	-2.15
819.30	-2.36
819.40	-2.55
819.50	-2.74
819.60	-2.91
819.70	-3.07
819.80	-3.21
819.90	-3.34
820.00	-3.45
820.10	-3.54
820.20	-3.60
820.30	-3.64
820.40	-3.65
820.50	-3.63
820.60	-3.59
820.70	-3.52
820.80	-3.44
820.90	-3.33
821.00	-3.21
821.10	-3.07
821.20	-2.93
821.30	-2.78
821.40	-2.64
821.50	-2.49
821.60	-2.34
821.70	-2.20
821.80	-2.07
821.90	-1.93
822.00	-1.80
822.10	-1.67
822.20	-1.54
822.30	-1.42
822.40	-1.28
822.50	-1.15
822.60	-1.02
822.70	-0.88
822.80	-0.74
822.90	-0.59
823.00	-0.44
823.10	-0.29
823.20	-0.13
823.30	0.03
823.40	0.19
823.50	0.36
823.60	0.53
823.70	0.70
823.80	0.87
823.90	1.04
824.00	1.22
824.10	1.39
824.20	1.56
824.30	1.72
824.40	1.88
824.50	2.03
824.60	2.16
824.70	2.28
824.80	2.39
824.90	2.49
825.00	2.56
825.10	2.63
825.20	2.68
825.30	2.72
825.40	2.74
825.50	2.77
825.60	2.78
825.70	2.79
825.80	2.80
825.90	2.81
826.00	2.82
826.10	2.84
826.20	2.85
826.30	2.85
826.40	2.86
826.50	2.85
826.60	2.84
826.70	2.82
826.80	2.78
826.90	2.72
827.00	2.64
827.10	2.54
827.20	2.43
827.30	2.29
827.40	2.13
827.50	1.95
827.60	1.75
827.70	1.54
827.80	1.31
827.90	1.07
828.00	0.82
828.10	0.56
828.20	0.30
828.30	0.03
828.40	-0.23
828.50	-0.50
828.60	-0.76
828.70	-1.01
828.80	-1.25
828.90	-1.48
829.00	-1.70
829.10	-1.90
829.20	-2.08
829.30	-2.25
829.40	-2.39
829.50	-2.51
829.60	-2.61
829.70	-2.68
829.80	-2.74
829.90	-2.77
830.00	-2.79
830.10	-2.79
830.20	-2.79
830.30	-2.77
830.40	-2.74
830.50	-2.71
830.60	-2.68
830.70	-2.65
830.80	-2.61
830.90	-2.58
831.00	-2.55
831.10	-2.52
831.20	-2.49
831.30	-2.45
831.40	-2.41
831.50	-2.37
831.60	-2.31
831.70	-2.24
831.80	-2.16
831.90	-2.07
832.00	-1.96
832.10	-1.84
832.20	-1.71
832.30	-1.56
832.40	-1.40
832.50	-1.23
832.60	-1.05
832.70	-0.87
832.80	-0.68
832.90	-0.48
833.00	-0.29
833.10	-0.09
833.20	0.10
833.30	0.29
833.40	0.48
833.50	0.67
833.60	0.86
833.70	1.05
833.80	1.24
833.90	1.43
834.00	1.62
834.10	1.81
834.20	2.00
834.30	2.19
834.40	2.37
834.50	2.54
834.60	2.70
834.70	2.85
834.80	2.98
834.90	3.08
835.00	3.16
835.10	3.22
835.20	3.24
835.30	3.23
835.40	3.18
835.50	3.10
835.60	2.99
835.70	2.85
835.80	2.69
835.90	2.50
836.00	2.30
836.10	2.08
836.20	1.85
836.30	1.62
836.40	1.39
836.50	1.17
836.60	0.95
836.70	0.74
836.80	0.54
836.90	0.36
837.00	0.18
837.10	0.02
837.20	-0.13
837.30	-0.27
837.40	-0.40
837.50	-0.53
837.60	-0.65
837.70	-0.76
837.80	-0.87
837.90	-0.97
838.00	-1.07
838.10	-1.15
838.20	-1.23
838.30	-1.30
838.40	-1.35
838.50	-1.40
838.60	-1.43
838.70	-1.45
838.80	-1.45
838.90	-1.45
839.00	-1.43
839.10	-1.41
839.20	-1.37
839.30	-1.34
839.40	-1.30
839.50	-1.26
839.60	-1.22
839.70	-1.18
839.80	-1.14
839.90	-1.11
840.00	-1.08
840.10	-1.05
840.20	-1.02
840.30	-1.00
840.40	-0.97
840.50	-0.94
840.60	-0.91
840.70	-0.87
840.80	-0.84
840.90	-0.79
841.00	-0.75
841.10	-0.70
841.20	-0.65
841.30	-0.60
841.40	-0.54
841.50	-0.49
841.60	-0.44
841.70	-0.39
841.80	-0.34
841.90	-0.29
842.00	-0.25
842.10	-0.21
842.20	-0.17
842.30	-0.13
842.40	-0.09
842.50	-0.04
842.60	-0.00
842.70	0.04
842.80	0.09
842.90	0.14
843.00	0.18
843.10	0.23
843.20	0.27
843.30	0.31
843.40	0.34
843.50	0.36
843.60	0.38
843.70	0.39
843.80	0.39
843.90	0.38
844.00	0.37
844.10	0.35
844.20	0.33
844.30	0.31
844.40	0.28
844.50	0.26
844.60	0.25
844.70	0.24
844.80	0.25
844.90	0.26
845.00	0.28
845.10	0.31
845.20	0.34
845.30	0.39
845.40	0.43
845.50	0.48
845.60	0.53
845.70	0.58
845.80	0.62
845.90	0.66
846.00	0.70
846.10	0.73
846.20	0.75
846.30	0.77
846.40	0.79
846.50	0.80
846.60	0.82
846.70	0.83
846.80	0.84
846.90	0.85
847.00	0.86
847.10	0.87
847.20	0.87
847.30	0.88
847.40	0.89
847.50	0.89
847.60	0.88
847.70	0.88
847.80	0.87
847.90	0.86
848.00	0.84
848.10	0.82
848.20	0.79
848.30	0.77
848.40	0.73
848.50	0.70
848.60	0.66
848.70	0.62
848.80	0.57
848.90	0.51
849.00	0.44
849.10	0.36
849.20	0.27
849.30	0.17
849.40	0.05
849.50	-0.08
849.60	-0.21
849.70	-0.36
849.80	-0.51
849.90	-0.67
850.00	-0.82
850.10	-0.96
850.20	-1.10
850.30	-1.21
850.40	-1.31
850.50	-1.39
850.60	-1.45
850.70	-1.49
850.80	-1.50
