JONSWAP Spectrum and Wave Train
===============================

Inputs:
Hs=4.50m
Tz=8.00s
Freq=[0.01, 3.50, step 0.00] rd/s
Time=[0.00, 2000.00, step 0.10] s

Spectral Parameters:
gamma=3.93
Tp=10.14 s
wp=0.62 rd/s
alpha=0.01

Spectral Moments:
m0=1.265 m^2
m1=0.924 m^2.rd/s
m2=0.758 m^2.(rd/s)^2
m3=0.745 m^2.(rd/s)^3
m4=0.945 m^2.(rd/s)^4

Wave Elevation Statictics:
Max: 3.88m
Min: -4.20m
Mean: -0.00m
StDev: 1.18m

Double Check Spectrum:
Hs=4*sqrt(m0)=4.50 m (-0%)
Tz=2*Pi*sqrt(m0/m2)=8.12 s (+1%)

Double Check Wave Train:
Hs=4*stdev(elevation)=4.72 m (+5%)
Tz=duration/upCrossings=8.30 s (+4%)

Spectrum and wave components:
omega	S(w)	Ampl	phi
rd/s	m2s/rd	 m  	rd
0.34	0.000	0.001	1.22
0.34	0.000	0.001	6.08
0.34	0.000	0.001	0.26
0.34	0.000	0.001	3.10
0.34	0.000	0.001	3.29
0.35	0.000	0.001	2.19
0.35	0.000	0.001	0.54
0.35	0.000	0.001	0.55
0.35	0.000	0.001	1.06
0.35	0.000	0.001	1.00
0.35	0.001	0.001	0.19
0.35	0.001	0.001	4.40
0.35	0.001	0.001	5.21
0.35	0.001	0.001	5.17
0.35	0.001	0.001	0.19
0.36	0.001	0.001	2.36
0.36	0.001	0.001	5.30
0.36	0.001	0.002	4.07
0.36	0.001	0.002	2.69
0.36	0.001	0.002	3.59
0.36	0.002	0.002	4.73
0.36	0.002	0.002	0.52
0.36	0.002	0.002	5.05
0.36	0.002	0.002	0.14
0.36	0.002	0.002	1.24
0.36	0.003	0.002	1.50
0.37	0.003	0.002	0.73
0.37	0.003	0.003	2.35
0.37	0.004	0.003	1.26
0.37	0.004	0.003	0.70
0.37	0.004	0.003	1.43
0.37	0.005	0.003	0.71
0.37	0.005	0.003	1.46
0.37	0.006	0.003	4.45
0.37	0.006	0.004	1.74
0.38	0.007	0.004	2.55
0.38	0.007	0.004	5.65
