WaveHs	WaveTp	WaveDirection	Link1 Max Tension	Link1 Min Tension
3.000000	8.000000	165.000000	57.242725	38.705933
3.000000	8.000000	165.000000	60.057362	34.027821
3.000000	8.000000	165.000000	60.091400	34.295349
3.000000	8.000000	165.000000	59.833286	35.828777
3.000000	8.000000	165.000000	62.039700	35.056114
3.000000	8.000000	165.000000	60.098068	33.552811
3.000000	8.000000	165.000000	61.492912	33.612507
3.000000	8.000000	165.000000	60.126423	37.809727
3.000000	8.000000	165.000000	60.806389	35.136490
3.000000	8.000000	165.000000	58.888222	36.264690
3.000000	8.000000	165.000000	57.017376	39.048954
3.000000	8.000000	180.000000	58.831833	35.968227
3.000000	8.000000	180.000000	62.286743	34.376343
3.000000	8.000000	180.000000	59.969955	32.982304
3.000000	8.000000	180.000000	59.513130	35.296707
3.000000	8.000000	180.000000	61.543648	35.984207
3.000000	8.000000	180.000000	57.414570	39.068485
3.000000	8.000000	180.000000	60.036255	34.021370
3.000000	8.000000	180.000000	58.166294	36.884495
3.000000	8.000000	180.000000	62.513466	35.157791
3.000000	8.000000	180.000000	57.199764	38.655479
3.000000	8.000000	180.000000	60.020741	34.769680
3.000000	8.000000	180.000000	56.031631	37.593098
3.000000	8.000000	180.000000	58.250183	36.306957
3.000000	8.000000	180.000000	60.151577	35.747421
3.000000	8.000000	180.000000	57.972107	38.103664
3.000000	8.000000	180.000000	59.456062	35.203037
3.000000	8.000000	180.000000	59.757530	34.470676
3.000000	8.000000	180.000000	61.019405	34.722881
3.000000	8.000000	180.000000	57.214130	36.964901
3.000000	8.000000	180.000000	55.635983	38.525856
3.000000	8.000000	180.000000	57.675182	38.206490
3.000000	8.000000	180.000000	59.261246	35.232811
3.000000	8.000000	180.000000	57.014603	37.073833
3.000000	8.000000	180.000000	58.056896	38.221848
3.000000	8.000000	180.000000	57.814034	38.233036
3.000000	8.000000	180.000000	60.074284	36.770939
3.000000	8.000000	180.000000	60.483261	33.781189
3.000000	8.000000	180.000000	58.255749	36.872551
3.000000	8.000000	180.000000	60.016502	36.301975
3.000000	8.000000	180.000000	61.899372	35.659615
3.000000	8.000000	180.000000	60.666618	35.180290
3.000000	8.000000	180.000000	59.841324	36.499908
3.000000	8.000000	180.000000	60.355419	35.317543
3.000000	8.000000	180.000000	58.060223	36.102364
3.000000	8.000000	180.000000	57.545498	38.448563
3.000000	8.000000	195.000000	61.098213	33.508141
3.000000	8.000000	195.000000	60.665482	32.751022
3.000000	8.000000	195.000000	60.169388	34.687656
3.000000	8.000000	195.000000	60.567940	33.990364
3.000000	8.000000	195.000000	60.868839	35.984783
3.000000	8.000000	195.000000	57.624790	37.597168
3.000000	8.000000	195.000000	60.178547	33.916325
3.000000	8.000000	195.000000	58.468002	36.587582
3.000000	8.000000	195.000000	61.150585	35.195210
3.000000	8.000000	195.000000	58.027279	38.170372
3.000000	8.000000	195.000000	60.116493	33.947689
3.000000	8.000000	195.000000	56.000813	37.881042
3.000000	8.000000	195.000000	59.066566	33.935162
3.000000	8.000000	195.000000	60.388313	33.584576
3.000000	8.000000	195.000000	58.444027	37.804611
3.000000	8.000000	195.000000	59.305271	34.679817
3.000000	8.000000	195.000000	61.250008	34.392284
3.000000	8.000000	195.000000	61.462719	33.638973
3.000000	8.000000	195.000000	58.228207	36.805656
3.000000	8.000000	195.000000	56.521961	36.493042
3.000000	8.000000	195.000000	59.512810	35.724373
3.000000	8.000000	195.000000	62.304813	32.619987
3.000000	8.000000	195.000000	56.658310	36.198101
3.000000	8.000000	195.000000	59.581207	36.744766
3.000000	8.000000	195.000000	57.242725	38.705933
3.000000	8.000000	195.000000	60.057362	34.027821
3.000000	8.000000	195.000000	60.091400	34.295349
3.000000	8.000000	195.000000	59.833286	35.828777
3.000000	8.000000	195.000000	62.039700	35.056114
3.000000	8.000000	195.000000	60.098068	33.552811
3.000000	8.000000	195.000000	61.492912	33.612507
3.000000	8.000000	195.000000	60.126423	37.809727
3.000000	8.000000	195.000000	60.806389	35.136490
3.000000	8.000000	195.000000	58.888222	36.264690
3.000000	8.000000	195.000000	57.017376	39.048954
3.000000	10.000000	165.000000	58.400238	37.852787
3.000000	10.000000	165.000000	59.364563	36.574581
3.000000	10.000000	165.000000	59.502171	37.585812
3.000000	10.000000	165.000000	60.519325	36.673000
3.000000	10.000000	165.000000	60.352520	34.347717
3.000000	10.000000	165.000000	59.850895	36.846992
3.000000	10.000000	165.000000	61.969994	33.437527
3.000000	10.000000	165.000000	60.729763	34.135723
3.000000	10.000000	165.000000	58.389809	34.908916
3.000000	10.000000	165.000000	56.828098	38.972897
3.000000	10.000000	165.000000	57.937103	36.096855
3.000000	10.000000	165.000000	58.163086	37.913979
3.000000	10.000000	165.000000	56.907104	38.564400
3.000000	10.000000	165.000000	58.816910	36.437351
3.000000	10.000000	165.000000	54.855896	40.397182
3.000000	10.000000	165.000000	60.603867	36.091049
3.000000	10.000000	165.000000	58.602890	37.047180
3.000000	10.000000	165.000000	59.055748	37.165211
3.000000	10.000000	165.000000	59.951099	37.624214
3.000000	10.000000	165.000000	56.163658	40.264347
3.000000	10.000000	165.000000	58.669312	36.255825
3.000000	10.000000	165.000000	59.514088	35.421043
3.000000	10.000000	165.000000	59.499733	36.676712
3.000000	10.000000	165.000000	58.850494	36.489769
3.000000	10.000000	165.000000	54.391220	41.195831
3.000000	10.000000	165.000000	56.319710	39.985134
3.000000	10.000000	165.000000	58.920589	37.312424
3.000000	10.000000	165.000000	55.670681	38.817017
3.000000	10.000000	165.000000	63.565563	29.402603
3.000000	10.000000	165.000000	57.499321	37.944767
3.000000	10.000000	165.000000	62.056450	33.859497
3.000000	10.000000	165.000000	60.284397	36.028210
3.000000	10.000000	165.000000	62.407330	34.826756
3.000000	10.000000	165.000000	57.726009	37.640823
3.000000	10.000000	165.000000	57.544853	36.278831
3.000000	10.000000	180.000000	58.407272	36.655327
3.000000	10.000000	180.000000	59.738930	37.127026
3.000000	10.000000	180.000000	61.146053	36.780888
3.000000	10.000000	180.000000	61.987862	36.719501
3.000000	10.000000	180.000000	59.699589	37.047138
3.000000	10.000000	180.000000	59.999115	36.498299
3.000000	10.000000	180.000000	62.886608	34.843662
3.000000	10.000000	180.000000	59.468018	35.192955
3.000000	10.000000	180.000000	58.806526	36.366253
3.000000	10.000000	180.000000	57.556061	38.438858
3.000000	10.000000	180.000000	59.037018	34.363689
3.000000	10.000000	180.000000	57.449318	39.577324
3.000000	10.000000	180.000000	56.009693	39.736202
3.000000	10.000000	180.000000	58.074593	35.986191
3.000000	10.000000	180.000000	55.557899	39.608032
3.000000	10.000000	180.000000	58.904247	36.439869
3.000000	10.000000	180.000000	57.467731	37.758873
3.000000	10.000000	180.000000	59.883545	37.339882
3.000000	10.000000	180.000000	59.714108	37.356873
3.000000	10.000000	180.000000	57.156834	39.553253
