Time	Z
6068.2	34.3177185058594
6068.3	34.312686920166
6068.4	34.3027763366699
6068.5	34.288028717041
6068.6	34.2685241699219
6068.7	34.2443351745605
6068.8	34.2155647277832
6068.9	34.182315826416
6069	34.1447143554687
6069.1	34.1028861999512
6069.2	34.0569801330566
6069.3	34.0071411132812
6069.4	33.9535369873047
6069.5	33.8963317871094
6069.6	33.8357086181641
6069.7	33.771842956543
6069.8	33.7049293518066
6069.9	33.6351623535156
6070	33.5627365112305
6070.1	33.4878616333008
6070.2	33.4107475280762
6070.3	33.331600189209
6070.4	33.2506484985352
6070.5	33.1681022644043
6070.6	33.0841979980469
6070.7	32.9991569519043
6070.8	32.913215637207
6070.9	32.8266105651855
6071	32.7395858764648
6071.1	32.6523818969727
6071.2	32.5652465820313
6071.3	32.4784355163574
6071.4	32.3922004699707
6071.5	32.3067932128906
6071.6	32.2224769592285
6071.7	32.1394996643066
6071.8	32.0581245422363
6071.9	31.9786014556885
6072	31.9011783599854
6072.1	31.8261070251465
6072.2	31.7536277770996
6072.3	31.6839771270752
6072.4	31.6173877716064
6072.5	31.5540828704834
6072.6	31.4942779541016
6072.7	31.4381790161133
6072.8	31.3859844207764
6072.9	31.3378791809082
6073	31.294038772583
6073.1	31.2546291351318
6073.2	31.2198028564453
6073.3	31.1897010803223
6073.4	31.1644477844238
6073.5	31.1441612243652
6073.6	31.1289386749268
6073.7	31.1188621520996
6073.8	31.1140003204346
6073.9	31.1144065856934
6074	31.1201114654541
6074.1	31.1311321258545
6074.2	31.1474590301514
6074.3	31.1690711975098
6074.4	31.1959209442139
6074.5	31.2279415130615
6074.6	31.2650451660156
6074.7	31.3071193695068
6074.8	31.3540287017822
6074.9	31.4056186676025
6075	31.4617080688477
6075.1	31.5220947265625
6075.2	31.5865497589111
6075.3	31.6548233032227
6075.4	31.7266445159912
6075.5	31.801721572876
6075.6	31.8797435760498
6075.7	31.960376739502
6075.8	32.0432739257812
6075.9	32.1280746459961
6076	32.2144012451172
6076.1	32.3018646240234
6076.2	32.3900604248047
6076.3	32.4785842895508
6076.4	32.567024230957
6076.5	32.6549606323242
6076.6	32.7419738769531
6076.7	32.8276557922363
6076.8	32.9115867614746
6076.9	32.9933700561523
6077	33.0726051330566
6077.1	33.1489219665527
6077.2	33.2219429016113
6077.3	33.2913208007812
6077.4	33.3567276000977
6077.5	33.4178504943848
6077.6	33.4743995666504
6077.7	33.5261154174805
6077.8	33.5727615356445
6077.9	33.6141242980957
6078	33.6500244140625
6078.1	33.6803092956543
6078.2	33.7048530578613
6078.3	33.7235641479492
6078.4	33.7363739013672
6078.5	33.7432518005371
6078.6	33.7441902160645
6078.7	33.7392196655273
6078.8	33.728385925293
6078.9	33.7117729187012
6079	33.6894950866699
6079.1	33.6616859436035
6079.2	33.6285057067871
6079.3	33.5901489257812
6079.4	33.5468330383301
6079.5	33.4987869262695
6079.6	33.4462852478027
6079.7	33.3896064758301
6079.8	33.3290519714355
6079.9	33.2649536132812
6080	33.1976470947266
6080.1	33.1274948120117
6080.2	33.0548629760742
6080.3	32.9801368713379
6080.4	32.9037170410156
6080.5	32.8260040283203
6080.6	32.7474021911621
6080.7	32.6683311462402
6080.8	32.5891990661621
6080.9	32.5104179382324
6081	32.4323997497559
6081.1	32.3555374145508
6081.2	32.2802238464355
6081.3	32.206844329834
6081.4	32.1357650756836
6081.5	32.0673370361328
6081.6	32.0019035339355
6081.7	31.9397850036621
6081.8	31.8812847137451
6081.9	31.8266849517822
6082	31.7762489318848
