WaveDirection	WaveHs	WaveTp	Crane Wire_Max_Tension	Crane Wire_Min_Tension	Pennant_Max_Tension	Pennant_Min_Tension	Sling1_Max_Tension	Sling1_Min_Tension	Sling2_Max_Tension	Sling2_Min_Tension
150.000000	2.500000	5.000000	299.703522	82.036530	244.149536	38.647747	204.449234	1.173324	137.227081	15.864091
150.000000	2.500000	5.000000	216.415985	120.354195	165.889862	75.042778	118.683174	7.695354	123.767456	0.000000
150.000000	2.500000	5.000000	232.259857	120.140564	181.026520	75.171471	120.877083	5.936732	111.451691	12.590774
150.000000	2.500000	5.000000	211.137955	135.145218	159.077530	88.138397	95.513206	22.353397	101.882423	22.276077
150.000000	2.500000	5.000000	317.050476	91.012856	262.027802	48.950817	140.534683	19.203632	143.005081	16.364649
150.000000	2.500000	5.000000	263.964172	130.372498	212.325790	84.322327	149.562134	4.527918	138.279266	2.086059
180.000000	1.000000	5.000000	198.524582	138.660645	148.818146	102.473465	78.635956	39.393444	78.952850	37.357349
180.000000	1.000000	5.000000	208.442993	122.890633	157.630936	77.334908	87.563187	33.752136	81.307999	39.612389
180.000000	1.000000	5.000000	195.224625	132.101456	145.966415	93.498436	78.200546	45.366161	77.910934	46.198467
180.000000	1.000000	5.000000	198.180740	139.413849	148.347229	97.844185	84.704651	28.327442	85.471710	30.743395
180.000000	1.000000	5.000000	201.832306	122.815254	151.071014	78.934387	93.831520	29.223698	77.970856	40.474377
180.000000	1.000000	5.000000	196.261841	135.805588	146.907776	93.769142	79.447639	42.088867	79.072090	44.993469
180.000000	1.000000	5.000000	195.785095	136.367294	146.291046	92.424995	78.511765	40.553082	76.805176	39.780201
180.000000	1.000000	5.000000	197.220352	141.553635	147.627457	97.698158	77.721703	43.420109	80.826920	43.534691
180.000000	1.000000	5.000000	196.283630	143.072021	146.761200	105.101799	79.045181	40.287518	78.284073	38.195530
180.000000	1.000000	5.000000	199.056030	135.742691	149.488022	92.484764	85.041504	33.613514	82.756813	34.268314
180.000000	1.000000	5.000000	208.206131	134.986786	157.656647	88.868683	80.112190	43.941750	83.672287	41.605968
180.000000	1.000000	5.000000	244.327545	107.713829	192.421783	63.083927	96.636940	32.949177	104.436035	29.328632
180.000000	1.000000	5.000000	224.944580	120.175537	173.550476	75.035385	100.573708	25.816113	93.809418	33.443901
